,project_name,bid_classification,bid_type,Category
22510,Polybutylene Water Service Replacement In The City Of Pickering And The Town Of Ajax,Construction,Request for Tender(RFT),
22515,Polybutylene Water Service Replacement In The City Of Oshawa And The Municipality Of Clarington,Construction,Request for Tender(RFT),
22521,"Brock Concession Road 6 (River Street) Watermain Construction, Sunderland",Construction,Request for Tender(RFT),
22530,Road Rehabilitation And Hot Mix Paving At Various Locations Throughout The Region Of Durham,Construction,Request for Tender(RFT),
22533,Ultraviolet Disinfection System Upgrades At The Newcastle Water Supply Plant In The Municipality Clarington,Construction,Request for Tender(RFT),
22536,Window Cleaning For Various Regional Facilities,Services,Request for Tender(RFT),
22542,Gamebridge Bridge Replacement In The Townships Of Brock And Ramara,Construction,Request for Tender(RFT),
22557,"Construction Of Concrete Standing Areas, Concrete Transit Shelter Pads, And Retaining Walls At Various Bus Stop Locations",Construction,Request for Tender(RFT),
22564,Tree By-Law Enforcement Officer Services,Services,Request for Tender(RFT),
22565,"Printing, Warehousing And Supply Of Bulk Envelopes",Goods,Request for Tender(RFT),
22569,Bus Stop Construction On Taunton Road (Regional Road 4) In The Town Of Ajax,Construction,Request for Tender(RFT),
22573,Supply And Installation Of Traffic Control Signals And Appurtenances At The Intersection Of Thickson Road (Regional Road 26) At Summerside Avenue Gateway Court,Services,Request for Tender(RFT),
22578,Removal Of Graffiti And Illegal Signs,Services,Request for Tender(RFT),
22584,"Preventative Maintenance, Inspections And Testing Of Fire Alarm Suppression And Detection Systems",Services,Request for Tender(RFT),
22588,Detailed Design For The Widening Of Regional Road 57 And Associated Improvements From Baseline Road To Cpr Structure In The Municipality Of Clarington,Services,Request for Proposal(RFP),
22596,"Cisco Networking And Data Centre Equipment, Software And Smartnet Support Vendor Of Record",Goods,Request for Tender(RFT),
22601,Supply And Delivery Of Packaged Sodium Silicate And Sodium Hypochlorite,Goods,Request for Tender(RFT),
22605,Road Rehabilitation On Liberty Street And Regional Road 20 In The Municipality Of Clarington,Construction,Request for Tender(RFT),
22608,Rehabilitation And Cctv Inspection Of Gravity Sewers,Services,Request for Tender(RFT),
22612,Fence And Gates Upgrade At Oshawa Whitby Depot In Whitby Ontario,Construction,Request for Tender(RFT),
22613,Supply And Delivery Of Ferrous Chloride,Goods,Request for Tender(RFT),
22615,Key Cabinets,Services,Request for Tender(RFT),
22616,Simcoe Street At Winchester Road Intersection Modifications In The City Of Oshawa,Construction,Request for Tender(RFT),
22621,Supply And Delivery Of Articulated Wheel Loaders (2018 Or Newer Models),Goods,Request for Tender(RFT),
22625,General Contractors For The Sludge Blending Tank Restoration And Connection To Digester Gas System Project At Duffin Creek Water Pollution Control Plant,Services,Request for Pre-Qualification(RFPQ),
22634,"Cleaning, Cured-In-Place Pipe Lining And Closed Circuit Television Inspection Of Watermains On Various Streets Throughout The Region Of Durham",Construction,Request for Tender(RFT),
22637,Closed Circuit T.V. Inspection Services Of Sanitary And Storm Sewers,Services,Request for Tender(RFT),
22648,Hillsdale Avenue And Gorevale Crescent Watermain Replacement In The City Of Oshawa,Construction,Request for Tender(RFT),
22651,"Winchester Road And Thickson Road Reconstruction And Widening, In The Town Of Whitby",Construction,Request for Tender(RFT),
22658,Interior Painting Of Residential Units For Durham Region Local Housing Corporation In The Region Of Durham,Services,Request for Tender(RFT),
22666,Sunderland Exfiltration Lagoon Cleanout,Construction,Request for Tender(RFT),
22668,Bloor Street Feedermain (Grandview To Townline Rd.) Oshawa,Construction,Request for Tender(RFT),
22676,Security Guard Services,Services,Request for Tender(RFT),
22684,Scada Upgrade And Integration Program East Remaining Sites,Construction,Request for Tender(RFT),
22687,Recycling / Disposal Of Municipal Hazardous Or Special Waste (Mhsw),Services,Request for Tender(RFT),
22689,Replacement Of Walkway From Parking Garage To South Entrance At Regional Hq,Construction,Request for Tender(RFT),
22694,Janitorial Services For Northern And Southern Locations,Services,Request for Tender(RFT),
22701,Environmental Impact Study And Detailed Design For The Reconstruction Of Zephyr Road (Regional Road 13) From Regional Road 39 To Concession Road 4,Services,Request for Proposal(RFP),
22705,Ajax Elcc Roof Replacement,Construction,Request for Tender(RFT),
22715,Annual Inspection Of Regulatory And Warning Signs,Services,Request for Tender(RFT),
22719,Supply And Delivery Of Twelve (12) Custom Built 40 Cubic Yard Open Top Roll Off Containers For The Region Of Durham,Goods,Request for Tender(RFT),
22727,Janitorial Services At Duffin Creek Wpcp,Services,Request for Tender(RFT),
22737,Grading And Asphalt Paving At Brock Waste Management Facility,Construction,Request for Tender(RFT),
22744,Autodesk License Preferred Reseller,Services,Request for Tender(RFT),
22749,Food Supply Services For The Region Of Durham’S Early Learning Child Care Centres (Elcc),Services,Request for Proposal(RFP),
22753,Janitorial Services At Regional Headquarters,Services,Request for Tender(RFT),
22765,Polybutylene Water Service Replacement In The Town Of Ajax,Construction,Request for Tender(RFT),
22771,Rehabilitation And Cctv Inspection Of Gravity Sewers,Services,Request for Tender(RFT),
22777,Ambient Air Monitoring,Services,Request for Proposal(RFP),
22782,Supply And Delivery Of Hydrofluosilicic Acid,Goods,Request for Tender(RFT),
22784,General Labourer Services Registry For Durham Region Local Housing Corporation (Drlhc),Services,Request for Proposal(RFP),
22790,Road Rehabilitation On Goodwood Road (Regional Road 21) In The Township Of Scugog,Construction,Request for Tender(RFT),
22793,Provision Of Nursing Staff For Immunization Clinics,Services,Request for Proposal(RFP),
22800,Replacement Of The Parking Garage Waterproofing System At Regional Headquarters,Construction,Request for Tender(RFT),
22806,Stack Testing For Incinerators At Duffin Creek Water Pollution Control Plant,Services,Request for Tender(RFT),
22809,Carnwith Drive Watermain Extension Using Horizontal Directional Drilling In The Town Of Whitby,Construction,Request for Tender(RFT),
22813,Supply And Application Of Bituminous Road Primer,Goods,Request for Tender(RFT),
22814,Road Rehabilitation On Simcoe Street In The Township Of Scugog,Construction,Request for Tender(RFT),
22817,Hydrogeological Peer Reviews,Services,Request for Proposal(RFP),
22824,"Supply And Installation Of Traffic Signal Heads, Led Signal Head Indications, Signal Head Mounting Hardware And Related Appurtenances",Goods,Request for Tender(RFT),
22828,Supply And Delivery Of Various Vehicles (2018 Or Newer Pickup Trucks),Goods,Request for Tender(RFT),
22834,Grass Cutting On Regional Right-Of-Ways In The City Of Pickering,Services,Request for Tender(RFT),
22845,Groundwater Modeling Update To Meet Source Protection Requirements,Services,Request for Proposal(RFP),
22847,Consulting Engineering Services To Undertake A Class Ea To Plan For Zone 4 Water Storage And Pumping Facilities To Service North Whitby And North Oshawa,Services,Request for Proposal(RFP),
22855,Scheduled Preventative Maintenance Intervals And Emergency Repairs Of Heavy Equipment At Region’S Waste Management Facilities (Wmf),Services,Request for Tender(RFT),
22859,"Scheduled Preventative Maintenance Intervals And Emergency Repairs Of Forklifts, Light Equipment And Cardboard Compactor",Services,Request for Tender(RFT),
22861,Replace Hoist - Ajax Depot,Construction,Request for Tender(RFT),
22864,Routing And Sealing Of Roadway Asphalt Cracks On Taunton Road (Regional Road 4) In The Regional Municipality Of Durham,Construction,Request for Tender(RFT),
22869,Supply And Delivery Of Staff Uniforms Including Scrubs For Durham Region'S Long Term Care Facilities,Goods,Request for Tender(RFT),
22871,Pump And Motor Registry,Services,Request for Tender(RFT),
22880,Foam Swabbing Services,Services,Request for Tender(RFT),
22882,Supply And Delivery Of Domestic Furnace Oil To Durham Region Purchasing Coop Agencies,Goods,Request for Tender(RFT),
22888,Semi- Annual Inspections Of Signalized Intersections At Various Locations Within The Region Of Durham,Services,Request for Tender(RFT),
22893,"Boiler Inspections, Maintenance, And Repairs",Services,Request for Tender(RFT),
22901,"Supply And Delivery Of Various Vehicles (2018 Or Newer, Crew Cab And Chassis, Complete With Body And Compartments, And Truck-Mounted Crane For 1 Unit)",Goods,Request for Tender(RFT),
22904,Group Benefits Provider,Services,Request for Proposal(RFP),
22907,Preventative Maintenance Of Emergency Public Alerting Siren System And Performance Of Unscheduled Troubleshooting And Repairs,Services,Request for Tender(RFT),
22911,"Victoria Street Re-Alignment Road Grading Contract 2, In The Town Of Whitby",Construction,Request for Tender(RFT),
22921,Turning Movement Count Program,Services,Request for Quotation(RFQ),
22924,"For A Registry Of Contractors To Perform Sewer, Storm And Watermain Contracting Services With Estimated Values Up To $125,000.00",Construction,Request for Proposal(RFP),
22943,Cleaning Services At Bus Stops,Services,Request for Tender(RFT),
22958,The Cleaning And Sanitizing Of Surfaces Contaminated By Sewage Water,Services,Request for Tender(RFT),
22962,Courtice Trunk Sanitary Sewer And Feedermain From Energy Park Drive To Courtice Road In The Municipality Of Clarington,Construction,Request for Tender(RFT),
22969,Development Tracking Land Development Office (Ldo) Software Replacement,Services,Request for Proposal(RFP),
22971,"Painting, Floor Repair And Overhead Door Replacement At Durham Region Transit'S Raleigh Ave. Maintenance Facility In Oshawa, Ontario",Construction,Request for Tender(RFT),
22981,Hairstyling Services For The Residents At (4) Four Durham Region Long-Term Care Homes,Services,Request for Proposal(RFP),
22983,"Waste Bins, Haulage And Disposal Of Wastewater Screenings And Grit From Wastewater Treatment Facilities In The Region Of Durham",Services,Request for Tender(RFT),
22985,The Supply And Delivery Of One Load Bank Tester For Lake Simcoe Water Pollution Control Plant,Goods,Request for Tender(RFT),
22986,"Supply, Delivery And Replenishment Of Smallwares For The Region Of Durham'S (4) Four Long-Term Care (Ltc) Homes",Goods,Request for Tender(RFT),
22989,Supply And Delivery Of Sulphuric Acid,Goods,Request for Tender(RFT),
22995,"Harmony Creek Wpcp, Major Maintenance Works - Phase 3, In The City Of Oshawa",Construction,Request for Tender(RFT),
22998,Sanitary Sewer And Watermain On Consumers Drive Extension In The Town Of Whitby,Construction,Request for Tender(RFT),
23013,Whitby Water Supply Plant (Wsp) Backwash Wastewater Dechlorination System Upgrades,Construction,Request for Tender(RFT),
23017,"Analytical Laboratory Testing Services For Soil, Ground Water, And Surface Water Samples From Various Waste Facilities",Services,Request for Tender(RFT),
23024,Co-Operative Tender Provides For The Supply And Delivery Of Hardware And Safety Supplies,Goods,Request for Tender(RFT),
23029,"Balcony Repairs At 155 King Street East, Oshawa, 850 Green Street, Whitby",Construction,Request for Tender(RFT),
23043,To Establish A Registry Of Qualified Contractors To Perform Vacuum Excavation Services,Services,Request for Proposal(RFP),
23056,Supply And Delivery Of Sodium Bisulphite,Goods,Request for Tender(RFT),
23059,"Pre-Qualification Of General Contractors For Recoating Of All Levels Of The Parking Garage At Regional Headquarters In Whitby, Ontario",Construction,Request for Pre-Qualification(RFPQ),
23078,Medical Oxygen Cylinder Rentals And Refills For Region Of Durham Paramedic Services (Rdps),Goods,Request for Tender(RFT),
23082,Transportation Of Roll-Off Containers Containing Solid Non-Hazardous Waste Or Recyclables Collected In Regional Roll-Off Bins,Services,Request for Tender(RFT),
23088,400 Mm Sanitary Forcemain From Old Rail Line To Carlin Drive In The Town Of Port Perry,Construction,Request for Tender(RFT),
23095,Metering Upgrades At Two Sewage Pumping Stations In Pickering,Construction,Request for Tender(RFT),
23098,Replace Dehumidifier In High Lift And Low Lift Areas At The Bowmanville Wsp,Construction,Request for Tender(RFT),
23102,Scada Contractor For The Regional Water Scada Upgrade And Integration Program East Remaining Sites In The Municipality Of Clarington,Services,Request for Proposal(RFP),
23105,"Bi-Annual Preventative Maintenance, Additional Or Emergency Repairs To Waste Weigh Scales",Services,Request for Tender(RFT),
23107,Class Ea To Plan For Additional Zone 1 Water Storage And New Zone 2 Water Pumping Station - Newcastle,Services,Request for Proposal(RFP),
23115,2017 Polybutylene Water Service Replacements In The Town Of Whitby And The Town Of Ajax,Construction,Request for Tender(RFT),
23121,"Balcony Repairs - 315 Colborne St. W., Whitby",Construction,Request for Tender(RFT),
23138,Thornton Rd. Sanitary Sewer From Champlain Ave. To Consumers Dr. Extension In The City Of Oshawa,Construction,Request for Tender(RFT),
23148,Hot Mix Paving On Winchester Road And Ritson Road And Road Resurfacing On Olive Avenue In The City Of Oshawa,Construction,Request for Tender(RFT),
23152,Engineering Services To Facilitate The Construction Of Two Bulk Water Filling Stations,Services,Request for Proposal(RFP),
23155,2017 Polybutylene Water Service Replacements In The Municipality Of Clarington,Construction,Request for Tender(RFT),
23160,Replace Inground Hoist - Drt Westney Rd. Facility In Ajax,Construction,Request for Tender(RFT),
23162,Replace Boiler & Heating System At The Oshawa Water Supply Plant,Construction,Request for Tender(RFT),
23169,Blackstock Landfill Mining Construction,Construction,Request for Tender(RFT),
23172,Victoria Street/Bloor Street Interim Road Widening,Construction,Request for Tender(RFT),
23178,Expansion And Renovation Of The Regional Environmental Laboratory,Services,Request for Proposal(RFP),
23179,Steel Beam Guide Rail Roadside Protection Systems,Construction,Request for Tender(RFT),
23182,Polybutylene Water Service Replacements,Construction,Request for Tender(RFT),
23188,Hot Mix Paving On Westney Road,Construction,Request for Tender(RFT),
23195,The Supply And Delivery Of Bulk Gas And Diesel Fuels,Goods,Request for Tender(RFT),
23201,Concrete Standing Areas And Concrete Transit Shelter Pads,Construction,Request for Tender(RFT),
23206,Removal Of Existing Filter Media And Filter Underdrain System,Construction,Request for Tender(RFT),
23208,Summer & Winter Grounds Maintenance,Services,Request for Proposal(RFP),
23210,Recycling Of Cardboard,Services,Request for Tender(RFT),
23214,Rdps Clothing,Goods,Request for Tender(RFT),
23219,Engineering Services In The City Of Oshawa And The Township Of Uxbridge,Services,Request for Proposal(RFP),
23223,Regional Road 12 And Regional Road 30,Construction,Request for Tender(RFT),
23228,Consulting Services For Parking Garage Recoating,Construction,Request for Proposal(RFP),
23236,Drps Port Perry - Cooling System And Bas Replacement,Construction,Request for Tender(RFT),
23241,2017 Polybutylene Water Service Replacements,Construction,Request for Tender(RFT),
23248,Sunderland Maintenance Lagoon Construction,Construction,Request for Tender(RFT),
23260,Zone 4 Potable Water Reservoir And Zone 5 Pumping Station In The City Of Pickering,Services,Request for Proposal(RFP),
23267,Environmental Assessment And Detailed Design For Taunton Road In The Municipality Of Clarington,Services,Request for Proposal(RFP),
23275,Traffic Control Signals And Appurtenances,Construction,Request for Tender(RFT),
23280,Oshawa Landfill Site Channel Erosion Control,Construction,Request for Tender(RFT),
23283,New Above-Ground Fuel System,Construction,Request for Tender(RFT),
23290,Brock St. Roadway Illumination In Whitby,Goods,Request for Quotation(RFQ),
23296,Engineering Services,Services,Request for Proposal(RFP),
23303,New Fire Suppression System,Construction,Request for Tender(RFT),
23305,Road Rehabilitation On Reach Street,Construction,Request for Tender(RFT),
23310,Winter Road Maintenance Services,Services,Request for Tender(RFT),
23318,Access Ladders And Fall Protection Anchor Points,Construction,Request for Tender(RFT),
23321,Watermain Construction,Construction,Request for Tender(RFT),
23324,Penthouse Roof Replacement,Construction,Request for Tender(RFT),
23330,Lighting Replacement And Upgrade For Drt,Construction,Request for Tender(RFT),
23332,Vehicle Impact Protection Bollards,Construction,Request for Tender(RFT),
23333,Plumbing Services Registry,Services,Request for Proposal(RFP),
23342,Hvac Services Registry,Services,Request for Proposal(RFP),
23351,South Blair Diversion Sewer In The Town Of Whitby,Construction,Request for Tender(RFT),
23356,"Cleaning, Cured-In-Place Pipe Lining And Cctv Inspection",Construction,Request for Tender(RFT),
23358,"Cleaning, Cement Mortar Lining And Cctv Inspection",Construction,Request for Tender(RFT),
23360,Breakwater Sewage Pumping Station Maintenance,Construction,Request for Tender(RFT),
23362,Durham Broadband Strategy,Services,Request for Proposal(RFP),
23369,Hydrant Paint At Various Locations,Services,Request for Tender(RFT),
23373,Consulting Engineering Services,Services,Request for Proposal(RFP),
23377,West Salt Dome At Orono Depot,Construction,Request for Quotation(RFQ),
23379,Intersection Reconstruction On Taunton Road,Construction,Request for Tender(RFT),
23384,"For The Collection, Recycling And Sale Of Scrap Metal Products And Semi-Precious Scrap Metal Products",Services,Request for Tender(RFT),
23389,Intersection Improvements In Clarington,Construction,Request for Tender(RFT),
23394,Removal And Replacement Of Granular Activated Carbon,Construction,Request for Tender(RFT),
23396,Ups Capacitors And Battery Replacement,Construction,Request for Tender(RFT),
23398,Upgrade Water And Wastewater Diesel Generators,Services,Request for Proposal(RFP),
23399,Supply And Delivery Of Bulk Ferric Chloride And Ferric Sulfate,Goods,Request for Tender(RFT),
23402,2017 Polybutylene Water Service Replacements,Construction,Request for Tender(RFT),
23408,Provision Of Pharmacy Services,Services,Request for Proposal(RFP),
23416,Physiotherapy Services,Services,Request for Proposal(RFP),
23421,Reconstruction Of Main St In Clarington,Construction,Request for Tender(RFT),
23431,Ritson Road Reconstruction,Construction,Request for Tender(RFT),
23439,Regional Road 57/Regional Road 3 Roundabout,Services,Request for Proposal(RFP),
23446,Concrete Culvert Installation By Tunnelling,Construction,Request for Tender(RFT),
23456,Cannington Sewage Conveyance System,Services,Request for Proposal(RFP),
23457,John Mills Bridge Rehabilitation,Construction,Request for Tender(RFT),
23458,Enterprise Workforce Scheduling Software System,Services,Others,
23459,Road Rehabilitation And Hot Mix Paving,Construction,Request for Tender(RFT),
23466,Polybutylene Water Service Replacements,Construction,Request for Tender(RFT),
23470,Mechanical Registry,Services,Request for Proposal(RFP),
23471,Electrical Services Registry,Services,Request for Proposal(RFP),
23472,"Supply, Delivery And Installation Of Modernization Of Various Elevators In Dufferin County",Construction,Request for Tender(RFT),
23473,Supply And Delivery Of Message Boards,Goods,Request for Tender(RFT),
23474,Supply And Delivery Of Line Painting Services,Services,Request for Tender(RFT),
23483,Supply And Delivery Of An Industrial Snow Blower,Goods,Request for Tender(RFT),
23484,Supply And Installation Of Sprinklers - Dufferin Oaks Mckelvie Burnside Village,Construction,Request for Tender(RFT),
23485,Request For Proposal For The Review And Assessment Of Building Security,Services,Request for Proposal(RFP),
23486,Supply And Installation Of Boiler Havc System At Dufferin Oaks Centre,Construction,Request for Tender(RFT),
23487,Web-Based Communications Tool For Waste Management Programs,Services,Request for Quotation(RFQ),
23488,Supply And Delivery Of Fuel - Co-Op,Goods,Request for Tender(RFT),
23492,Snow Plowing And Snow Removal,Services,Request for Tender(RFT),
23494,Supply And Installation Of Guide Rails,Services,Request for Tender(RFT),
23496,Salt Hauling - Delivery,Services,Request for Tender(RFT),
23501,Supply And Delivery Of Panasonic Toughbooks,Goods,Request for Tender(RFT),
23503,"Engineering Services For Design, Tender Documents And Contract Administration For The Rehabilitation/Replacement Of 6 Structures",Services,Request for Proposal(RFP),
23514,Engineering Services For Osim,Services,Request for Proposal(RFP),
23519,Supply Highway Coarse Road Salt,Services,Request for Tender(RFT),
23521,Supply And Load Various Granular Materials,Services,Request for Tender(RFT),
23522,Flat Roof Replacement - Various Locations,Construction,Request for Tender(RFT),
23532,Rehabilitation Of Bridge 999-9993,Construction,Request for Tender(RFT),
23539,Rehabilitation Of Bridge 035-0030,Construction,Request for Tender(RFT),
23546,Rehabilitation Of Bridges 004-0062 And 004-0064,Construction,Request for Tender(RFT),
23553,Purchase Of Snow Plows,Goods,Request for Tender(RFT),
23557,Rehabilitation Of Bridge 004-0038,Construction,Request for Tender(RFT),
23566,"Resurfacing Dufferin County Roads 3 And 12, And Marsville Storm Sewer Repair",Construction,Request for Tender(RFT),
23572,Sale Of Wheel Loader,Goods,Request for Tender(RFT),
23577,"General Restoration Work For Masonry, And Roof Repairs",Construction,Request for Pre-Qualification(RFPQ),
23585,Fabrication And Installation Of Signs,Services,Request for Pre-Qualification(RFPQ),
23592,Source Separated Organic Material (Sso) Processing Services,Services,Request for Proposal(RFP),
23596,Consultant For Service Delivery Review,Services,Request for Proposal(RFP),
23604,Dufferin County Road Storm Sewer Outlet,Construction,Request for Tender(RFT),
23606,Crack Sealing,Construction,Request for Tender(RFT),
23608,Purchase Of One Landscape Truck,Goods,Request for Tender(RFT),
23611,Purchase Of One Articulated Loader,Goods,Request for Tender(RFT),
23613,Recon Mill Street Parking Lot,Construction,Request for Tender(RFT),
23620,Scheduling And Attendance Software,Services,Request for Proposal(RFP),
23625,"Engineering Services For Design, Tender Documents And Contract Administration For The Rehabilitation/Replacement Of 6 Structures",Services,Request for Proposal(RFP),
23632,Audit Services,Services,Request for Proposal(RFP),
23637,Line Painting Services,Services,Request for Tender(RFT),
23639,Replace Extra T Beam,Construction,Request for Tender(RFT),
23645,Purchase Of Trucks,Goods,Request for Tender(RFT),
23647,Relining Of Humber Culvert(004-0148) Cr18,Construction,Request for Tender(RFT),
23650,Rehabilitation Of Culverts Cr5 And Cr3,Construction,Request for Tender(RFT),
23656,Resurfacing Of Dufferin County Roads 17 And 21,Construction,Request for Tender(RFT),
23662,"Resurfacing Of Dufferin County Roads 10,16 And 23",Construction,Request for Tender(RFT),
23666,Collection Services For Electronic Waste Days,Services,Request for Proposal(RFP),
23669,Collections Services For Household Hazardous Waste Event Days,Services,Request for Proposal(RFP),
23670,Needs Assessment,Services,Request for Proposal(RFP),
23673,Physiotherapy And Exercise Services,Services,Request for Proposal(RFP),
23676,Purchase Of Snowplow,Goods,Request for Tender(RFT),
23678,Purchase Of Four Mobile Column Lifts,Goods,Request for Tender(RFT),
23682,Elevator Service And Maintenance,Services,Request for Proposal(RFP),
23687,Building Permitting And Inspection Software,Goods,Request for Proposal(RFP),
23695,Removal And Replacement Of Hvac,Goods,Request for Tender(RFT),
23698,Sale Of Red And White Pine Timber,Goods,Request for Tender(RFT),
23701,Sale Of Red And White Pine And White Spruce Timber,Goods,Request for Tender(RFT),
23704,Sale Of Red And White Pine And Norway Spruce Timber,Goods,Request for Tender(RFT),
23706,109 Sar Asphalt Patches,Construction,Request for Tender(RFT),
23712,Supply Of Granular Materials,Construction,Request for Tender(RFT),
23716,Hauling Of Road Salt,Services,Request for Tender(RFT),
23717,Waste Audits,Services,Request for Proposal(RFP),
23722,Purchase Of Tractor,Goods,Request for Tender(RFT),
23724,Market Survey,Services,Request for Proposal(RFP),
23728,Age Friend Needs Assessment And Plan,Services,Request for Proposal(RFP),
23732,Line Painting,Construction,Request for Tender(RFT),
23736,Purchase Of Appliances,Goods,Request for Tender(RFT),
23741,Rfp For Pharmacy Services,Services,Request for Proposal(RFP),
23749,"Purchase Of One 2018 Or Newer One (1) Ton Cab And Chassis, Dual Wheel Truck",Goods,Request for Tender(RFT),
23750,Engineering Services For Osim,Services,Request for Proposal(RFP),
23759,Bridge Design And Contract Admin,Services,Request for Proposal(RFP),
23765,Replacement Of Culverts 004-0167 And 004-0168,Construction,Request for Tender(RFT),
23770,Dufferin Oaks Interior Painting,Services,Request for Tender(RFT),
23778,Resurfacing Of Dufferin Roads 23 And 109,Construction,Request for Tender(RFT),
23783,"Resurfacing Of Dufferin Roads 9, 11 And 17",Construction,Request for Tender(RFT),
23787,Rehabilitation Of Bridges 004-0115 And 004-0067,Construction,Request for Tender(RFT),
23792,Purchase Of 1/2 Ton Trucks,Goods,Request for Tender(RFT),
23797,Digital Ortho-Photography Aquisition Project,Services,Request for Proposal(RFP),
23802,Cleaning And Custodial Services For The Municipal Operations Center,Services,Request for Tender(RFT),
23808,Ash Tree Removals 2021,Services,Request for Tender(RFT),
23811,Roof Replacement At 182 Townsend Street Between City Of Peterborough,Construction,Request for Tender(RFT),
23822,Supply And Delivery Of (1) One Rider Sweeper-Scrubber,Goods,Request for Proposal(RFP),
23824,Gis Strategic Plan,Services,Request for Proposal(RFP),
23834,Fairview Estates Stormwater Management Facility Clean-Out,Services,Request for Tender(RFT),
23839,Supply And Installation Of A New Generator At City Hall,Services,Request for Tender(RFT),
23851,Provincial Court House Air Conditioner & Exhaust Fan Replacement,Services,Request for Tender(RFT),
23854,Integrated Fixed Film Activated Sludge (Ifas) System Replacement,Services,Request for Pre-Qualification(RFPQ),
23858,Building Condition Assessments And Data Base Update For Community Housing Provider Sites In The City And County Of Peterborough,Services,Request for Proposal(RFP),
23878,Road Surface Repairs,Construction,Request for Tender(RFT),
23880,"Supply, Planting And Establishment Of Trees: Ash Tree Replacement Planting Spring 2020",Services,Request for Tender(RFT),
23883,Supply Of Digital Orthophotography And Lidar,Services,Request for Proposal(RFP),
23890,Construction Management Services For The Louis Street Urban Park,Services,Request for Proposal(RFP),
23896,210 Wolfe Street Accessibility Renovations,Services,Request for Tender(RFT),
23899,Development Of A Traffic Calming Policy And Completion Of Neighbourhood Traffic Calming Studies,Services,Request for Proposal(RFP),
23904,Neal Drive Odour Control Facility,Services,Request for Tender(RFT),
23905,Supply And Delivery Of Sod,Services,Request for Tender(RFT),
23907,"Pavement Preservation - Road Resurfacing, Micro Surfacing And Lansdowne Street East Multi-Use Trail",Construction,Request for Tender(RFT),
23910,Supply Of Topsoil,Services,Request for Tender(RFT),
23914,Sewer Replacements & Spot Repairs,Construction,Request for Tender(RFT),
23917,Roof And Hvac Replacement At The Evinrude Centre,Construction,Request for Tender(RFT),
23921,Supply And Delivery Of Mixed Concrete,Services,Request for Tender(RFT),
23922,Environmental Consulting Firm Of Record For The City Of Peterborough,Services,Request for Proposal(RFP),
23929,Various Roof Replacements For The City Of Peterborough,Services,Request for Tender(RFT),
23938,City Wide Transportation Master Plan,Services,Request for Proposal(RFP),
23940,Art Gallery Of Peterborough Accessibility Renovations,Services,Request for Tender(RFT),
23944,Cycling Master Plan,Services,Request for Proposal(RFP),
23950,Centrifuge Polymer Aging And Dosage System,Services,Request for Tender(RFT),
23952,Pavement Preservation - Pavement Crack Sealing,Construction,Request for Tender(RFT),
23956,First Aid Services At The Peterborough Memorial Centre,Services,Request for Proposal(RFP),
23961,Removal Of Freon From Waste Management Facilities,Services,Request for Quotation(RFQ),
23963,Lease Of Mailing Machines For The City Of Peterborough Clerk'S Office And The Provincial Offences Office,Services,Request for Proposal(RFP),
23966,Ash Tree Removals January 2020,Services,Request for Tender(RFT),
23972,East Side Transportation Study And Ashburnham Drive Municipal Class Ea,Services,Request for Proposal(RFP),
23977,Demolition Of Ten City Owned Houses,Services,Request for Tender(RFT),
23987,Harper Creek Subwatershed Study,Services,Request for Proposal(RFP),
23988,Abatement Of Eight City Owned Houses,Services,Request for Tender(RFT),
23995,Snow Operations For The Peterborough Sport And Wellness Centre,Services,Request for Tender(RFT),
23997,Installation Of New Ramp At The Peterborough Museum & Archives,Services,Request for Tender(RFT),
23998,Professional Insurance Broker Services And Insurance Coverage (Part 2),Services,Request for Proposal(RFP),
24000,Material Recycling Facility Interior Renovations,Services,Request for Tender(RFT),
24004,Ash Tree Replacement Planting Fall 2019,Services,Request for Tender(RFT),
24006,North Fill Area Landfill Gas Collection System Phase 3,Services,Request for Tender(RFT),
24011,Supply & Installation Of A New Generator At The Peterborough Airport,Services,Request for Tender(RFT),
24013,"Supply, Delivery, And Installation Of Three Scoreboards And Scoreboard Support Structures",Services,Request for Tender(RFT),
24015,Install A Fire Alarm System In The King Street Parkade,Services,Request for Tender(RFT),
24020,Bensfort Road Leachate Forcemain Repairs,Services,Request for Tender(RFT),
24023,Supply And Delivery Of One Self Propelled “Z” Style Articulating Boom Lift,Services,Request for Proposal(RFP),
24027,"Supply, Planting And Establishment Of Trees At Jackson Creek Meadows Subdivision",Services,Request for Tender(RFT),
24029,Demolition And Construction Of A New Comfort Station At Beavermead Campground,Construction,Request for Tender(RFT),
24034,Disability Management Services,Services,Request for Proposal(RFP),
24042,Transit Terminal Office Renovation,Services,Request for Tender(RFT),
24048,Structural Spot Repairs,Services,Request for Tender(RFT),
24050,Towerhill South-Meadows Stormwater Management Facility Rehabilitation,Construction,Request for Tender(RFT),
24053,Extension Of Water Services At Peterborough Airport,Services,Request for Tender(RFT),
24055,Jackson Creek Flood Diversion Contract No. 1 Diversion Sewer Outlet Construction And George Street Bridge Rehabilitation,Construction,Request for Tender(RFT),
24058,Snow Operations For Various City Properties,Services,Request for Tender(RFT),
24061,Consulting Services For Integrated Fixed Film Activated Sludge Replacement,Services,Request for Proposal(RFP),
24068,Supply And Delivery Of Two Three-Wheeled Mechanical Street Sweepers,Goods,Request for Proposal(RFP),
